t,gtContinuityMSE
0,0.0005574573879130185
1,0.0006366019370034337
2,0.0006058056023903191
3,0.0005469698808155954
4,0.0005156449624337256
5,0.0005701888585463166
6,0.0005642775795422494
7,0.00048201519530266523
8,0.00042112445225939155
9,0.0003982334164902568
10,0.0003959285677410662
11,0.0003904347540810704
12,0.00041601431439630687
13,0.0004546807613223791
14,0.0004863709909841418
15,0.0005107151810079813
16,0.0005120883579365909
17,0.00048247570521198213
18,0.00045109924394637346
19,0.0004306885239202529
20,0.00042932285577990115
21,0.000443863682448864
22,0.0004684754239860922
23,0.0004892500001005828
24,0.0005222182953730226
25,0.0005365438410080969
26,0.0005267458036541939
27,0.0004949354333803058
28,0.00047056382754817605
29,0.0004437941242940724
30,0.00041824247455224395
31,0.00040257509681396186
32,0.0004003116919193417
33,0.00041851692367345095
34,0.0004537632630672306
35,0.0004757503338623792
36,0.00046759509132243693
37,0.00045868963934481144
38,0.00042811871389858425
39,0.00043310405453667045
40,0.0004208667087368667
41,0.0004140769597142935
42,0.0004222630232106894
43,0.0004293902893550694
44,0.0004449565603863448
45,0.0004412608686834574
46,0.0004392812552396208
47,0.0004194383218418807
48,0.00040002752211876214
49,0.0003800534759648144
50,0.0003716063220053911
51,0.0003782082931138575
52,0.000400214281398803
53,0.0004369968082755804
54,0.0004598264640662819
55,0.0004610177711583674
56,0.0004440114716999233
57,0.00042197920265607536
58,0.000411112850997597
59,0.00037406955379992723
60,0.00035335414577275515
61,0.00035157514503225684
62,0.000369746150681749
63,0.0003756136284209788
64,0.0003813565126620233
65,0.0003649578138720244
66,0.00035819693584926426
67,0.00034176523331552744
68,0.00030690321000292897
69,0.0003490676754154265
70,0.00038066343404352665
71,0.0003429139615036547
72,0.00032835578895173967
73,0.00034137192415073514
74,0.0003357511304784566
75,0.00032899033976718783
76,0.00032046044361777604
77,0.000308969960315153
78,0.00035450345603749156
79,0.0004160570679232478
80,0.00046304959687404335
81,0.00048243103083223104
82,0.0004776665009558201
83,0.0004351906245574355
84,0.0003977367887273431
85,0.0003791234630625695
86,0.0003661922237370163
87,0.0003747926966752857
88,0.00037618348142132163
89,0.00036962321610189974
90,0.0003697360516525805
91,0.000381817837478593
92,0.0003920279268641025
93,0.00038399038021452725
94,0.00038840968045406044
95,0.0003907902864739299
96,0.0004277014813851565
97,0.0004272141377441585
98,0.0004304893664084375
99,0.00042909709736704826
100,0.0004250393540132791
101,0.00044753015390597284
102,0.0004804743221029639
103,0.0004820353351533413
104,0.0004643217835109681
105,0.00043065581121481955
106,0.00042079886770807207
107,0.0004154436755925417
108,0.0004020293417852372
109,0.00039636206929571927
110,0.0003918329603038728
111,0.00038983585545793176
112,0.0003844737366307527
113,0.00039599885349161923
114,0.0003971853875555098
115,0.00040005851769819856
116,0.0003844980092253536
117,0.00038493380998261273
118,0.0004193713830318302
119,0.0004663897561840713
120,0.0004051190335303545
121,0.00035759832826443017
122,0.00033508078195154667
123,0.0003196117759216577
124,0.00029977643862366676
125,0.00028449067031033337
126,0.00028316749376244843
127,0.00028559958445839584
128,0.00029540833202190697
129,0.0002967091859318316
130,0.000291340023977682
131,0.0002822932437993586
132,0.0002680856268852949
133,0.0002672466216608882
134,0.0002716321323532611
135,0.00029067430295981467
136,0.000308803137158975
137,0.00033622427145019174
138,0.00037752301432192326
139,0.00040703805279918015
140,0.00040046090725809336
141,0.0004090669681318104
142,0.000409435189794749
143,0.00040280280518345535
144,0.0003887044731527567
145,0.0003644876996986568
146,0.0003508256340865046
147,0.00035198856494389474
148,0.000372501730453223
149,0.0003635555040091276
150,0.00035624930751509964
151,0.00035630265483632684
152,0.0003488672664389014
153,0.00033342186361551285
154,0.0003276776405982673
155,0.00033451872877776623
156,0.0003317445225547999
157,0.00030366581631824374
158,0.0002824885887093842
159,0.0002756429894361645
160,0.0002948641194961965
161,0.0003094082640018314
162,0.00031176977790892124
163,0.0003231388982385397
164,0.0003378982364665717
165,0.0003780339320655912
166,0.00039762051892466843
167,0.0003831482899840921
168,0.0003490643866825849
169,0.0003316816291771829
170,0.0003690357552841306
171,0.0004163022094871849
172,0.00045727487304247916
173,0.0004618547100108117
174,0.0004691696376539767
175,0.00044959725346416235
176,0.00042285906965844333
177,0.0003736608778126538
178,0.00039105143514461815
179,0.00039960452704690397
180,0.00035060205846093595
181,0.00031982571817934513
182,0.0003146764065604657
183,0.0003142956120427698
184,0.0003171343996655196
185,0.0003217060293536633
186,0.0003244512772653252
187,0.00033185462234541774
188,0.00033996006823144853
189,0.0003951095568481833
190,0.00039544381434097886
191,0.00039826740976423025
192,0.00038317666621878743
193,0.0003650053695309907
194,0.00037185673136264086
195,0.0003782637941185385
196,0.00039100376307033
197,0.00040708735468797386
198,0.00040864571928977966
199,0.00041615593363530934
200,0.00041040233918465674
201,0.0003947342047467828
202,0.0003881924203597009
203,0.00042106176260858774
204,0.00044055088073946536
205,0.00045022540143691003
206,0.00044770954991690814
207,0.00044439357588998973
208,0.0004196133522782475
209,0.00040577701292932034
210,0.00039578162250109017
211,0.0003956188156735152
212,0.0003941063769161701
213,0.00040201834053732455
214,0.0004072320880368352
215,0.0004356277931947261
216,0.0004287501215003431
217,0.0004223263531457633
218,0.0004087534616701305
219,0.0004071672447025776
220,0.00044584498391486704
221,0.0005152344238013029
222,0.00047695107059553266
223,0.0005180079024285078
224,0.0005131324287503958
225,0.00048238830640912056
226,0.0004219204420223832
227,0.000367550877854228
228,0.00038363863131962717
229,0.00040601141517981887
230,0.00038098948425613344
231,0.00036012305645272136
232,0.00035274052061140537
233,0.0003637472400441766
234,0.00037072598934173584
235,0.0003773497592192143
236,0.00038598154787905514
237,0.00037897113361395895
238,0.00037069310201331973
239,0.00040604171226732433
240,0.0004399424360599369
241,0.00048411174793727696
242,0.0005537272663787007
243,0.0005823915125802159
244,0.0005583784659393132
245,0.0005110870697535574
246,0.0004524090327322483
247,0.00041232877993024886
248,0.00041553808841854334
249,0.00044596879160963
250,0.000477198394946754
251,0.0004933711024932563
252,0.0004989838926121593
253,0.000491056009195745
254,0.00048686855006963015
255,0.00047416178858838975
256,0.0004366113862488419
257,0.00043704966083168983
258,0.0004542733367998153
259,0.00048475631047040224
260,0.0004937522462569177
261,0.0004980550147593021
262,0.00048126070760190487
263,0.0004752436652779579
264,0.0004429199907463044
265,0.0004118878860026598
266,0.0004100349033251405
267,0.00044155839714221656
268,0.00044310648809187114
269,0.0004893805598840117
270,0.0004775903362315148
271,0.000456950074294582
272,0.0004506191180553287
273,0.00041918017086572945
274,0.00037810305366292596
275,0.0004170757601968944
276,0.0003975201107095927
277,0.00036095266113989055
278,0.00035180579288862646
279,0.00034864855115301907
280,0.0003512774419505149
281,0.0003444411267992109
282,0.0003463389875832945
283,0.00032997369999065995
284,0.0003121787158306688
285,0.00030033988878130913
286,0.0003099876339547336
287,0.00031472367118112743
288,0.00029770148103125393
289,0.0002742850047070533
290,0.00025401843595318496
291,0.00024463646695949137
292,0.00024752336321398616
293,0.0002702792116906494
294,0.00028912085690535605
295,0.0002987612097058445
296,0.000317324505886063
297,0.0003492241958156228
298,0.00035261758603155613
299,0.00036119064316153526
300,0.0003423150919843465
301,0.000342066225130111
302,0.0003308985033072531
303,0.000323394633596763
304,0.00032180032576434314
305,0.00032719920272938907
306,0.000335129996528849
307,0.0003389054036233574
308,0.00035239598946645856
309,0.00035713077522814274
310,0.00036681172787211835
311,0.00034922108170576394
312,0.0003338200331199914
313,0.00035095063503831625
314,0.0003488044021651149
315,0.00037041326868347824
316,0.00039909788756631315
317,0.0004220131377223879
318,0.00044253203668631613
319,0.00044502364471554756
320,0.00043829213245771825
321,0.0004308948409743607
322,0.00041048339335247874
323,0.00040205722325481474
324,0.00039955141255632043
325,0.0004345769702922553
326,0.0004718144191429019
327,0.0004885253147222102
328,0.0004822220071218908
329,0.00046338315587490797
330,0.0004212267813272774
331,0.00038905098335817456
332,0.00038168777246028185
333,0.0003882361052092165
334,0.00042983898310922086
335,0.0004678185214288533
336,0.0004862824862357229
337,0.0005002922844141722
338,0.0004888662951998413
339,0.00048517476534470916
340,0.000448515173047781
341,0.00045601691817864776
342,0.00045231651165522635
343,0.00042647786904126406
344,0.00039348029531538486
345,0.00038670049980282784
346,0.0003882083692587912
347,0.0003642012597993016
348,0.00033462836290709674
349,0.0003218573401682079
350,0.00030931507353670895
351,0.00031528863473795354
352,0.0003385280433576554
353,0.000349127862136811
354,0.0003502862236928195
355,0.0003305244608782232
356,0.00031112568103708327
357,0.0002906259906012565
358,0.0002852332254406065
359,0.00027912945370189846
360,0.00025867894873954356
361,0.00023823122319299728
362,0.00025078895851038396
363,0.0002840134548023343
364,0.00031891121761873364
365,0.00034454785054549575
366,0.00035323729389347136
367,0.00034048035740852356
368,0.0003493214608170092
369,0.00033561314921826124
370,0.00030031133792363107
371,0.0002935653319582343
372,0.0002814843028318137
373,0.00028214638587087393
374,0.0002820013032760471
375,0.0002802129019983113
376,0.0002803467505145818
377,0.00028138456400483847
378,0.0002998355485033244
379,0.00032395508605986834
380,0.0003522279439494014
381,0.0004339639563113451
