t,predContinuityMSE
0,0.0005574573879130185
1,0.0005404904950410128
2,0.0004588506417348981
3,0.00042126234620809555
4,0.00039536922122351825
5,0.00035319692688062787
6,0.000328798167174682
7,0.00036944166640751064
8,0.0003102373448200524
9,0.000301352352835238
10,0.0002730294072534889
11,0.00030817007063888013
12,0.00033499853452667594
13,0.0003055403649341315
14,0.0003950450336560607
15,0.0004080380604136735
16,0.0003558685421012342
17,0.00035311674582771957
18,0.000359034922439605
19,0.0002987146726809442
20,0.00027787909493781626
21,0.000261742650764063
22,0.0002485102158971131
23,0.0002980973804369569
24,0.0003044725162908435
25,0.0003202955413144082
26,0.0003952372644562274
27,0.0003936623688787222
28,0.0003722129622474313
29,0.0003767050220631063
30,0.00033449975308030844
31,0.0003346265002619475
32,0.00033452478237450123
33,0.000306939531583339
34,0.00033880758564919233
35,0.0003513136471156031
36,0.000409100903198123
37,0.0004483931406866759
38,0.00038385504740290344
39,0.0003619565977714956
40,0.00037275830982252955
41,0.000366354564903304
42,0.00032842010841704905
43,0.0003531484107952565
44,0.00035625454620458186
45,0.0003045222256332636
46,0.00034670144668780267
47,0.0003686262934934348
48,0.0003562150814104825
49,0.0003394649247638881
50,0.0003403627488296479
51,0.00034873333061113954
52,0.0003023163299076259
53,0.0003499300801195204
54,0.0003089439996983856
55,0.0002913965145125985
56,0.0002945628366433084
57,0.000323624350130558
58,0.0003547151281964034
59,0.0004103719547856599
60,0.0004060806822963059
61,0.0003616254252847284
62,0.0003855479008052498
63,0.00035722230677492917
64,0.0004436262242961675
65,0.000318798644002527
66,0.00038863986264914274
67,0.0003698715881910175
68,0.0003380534762982279
69,0.0003329837054479867
70,0.00034932841663248837
71,0.00028140502399764955
72,0.0003343437274452299
73,0.00032069309963844717
74,0.0003167038084939122
75,0.00029337621526792645
76,0.000291961885523051
77,0.00033516198163852096
78,0.0002673947310540825
79,0.0002691452391445637
80,0.0002699955948628485
81,0.00030724520911462605
82,0.00028604341787286103
83,0.000401808851165697
84,0.0003940044844057411
85,0.00036084422026760876
86,0.0003577734169084579
87,0.0003784068685490638
88,0.00034912911360152066
89,0.00030253114528022707
90,0.000353810639353469
91,0.0003783527354244143
92,0.00031500618206337094
93,0.0003162308130413294
94,0.0003573836002033204
95,0.00035109283635392785
96,0.0003543924540281296
97,0.00031611943268217146
98,0.00032912188908085227
